N,D,patch,species,env,time,dispersal,germination,survival
3,3,1,17,0.4403499865742456,2000,0.001757510624854793,0.30000000000000004,0.1
3,0,1,20,0.4403499865742456,2000,0.0022229964825261957,0.30000000000000004,0.1
8,2,1,20,0.4403499865742456,2000,0.002811768697974231,0.30000000000000004,0.1
15,0,1,13,0.4403499865742456,2000,0.004498432668969444,0.30000000000000004,0.1
6,0,1,13,0.4403499865742456,2000,0.005689866029018299,0.30000000000000004,0.1
17,3,1,20,0.4403499865742456,2000,0.005689866029018299,0.30000000000000004,0.1
12,0,1,20,0.4403499865742456,2000,0.0071968567300115215,0.30000000000000004,0.1
6,0,1,15,0.4403499865742456,2000,0.009102981779915217,0.30000000000000004,0.1
15,0,1,13,0.4403499865742456,2000,0.011513953993264481,0.30000000000000004,0.1
9,0,1,20,0.4403499865742456,2000,0.011513953993264481,0.30000000000000004,0.1
10,0,1,13,0.4403499865742456,2000,0.014563484775012445,0.30000000000000004,0.1
7,0,1,16,0.4403499865742456,2000,0.014563484775012445,0.30000000000000004,0.1
26,1,1,13,0.4403499865742456,2000,0.018420699693267165,0.30000000000000004,0.1
1,0,1,20,0.4403499865742456,2000,0.018420699693267165,0.30000000000000004,0.1
14,1,1,13,0.4403499865742456,2000,0.023299518105153717,0.30000000000000004,0.1
8,0,1,13,0.4403499865742456,2000,0.029470517025518096,0.30000000000000004,0.1
12,0,1,20,0.4403499865742456,2000,0.029470517025518096,0.30000000000000004,0.1
8,0,1,13,0.4403499865742456,2000,0.037275937203149416,0.30000000000000004,0.1
5,0,1,16,0.4403499865742456,2000,0.037275937203149416,0.30000000000000004,0.1
14,0,1,20,0.4403499865742456,2000,0.037275937203149416,0.30000000000000004,0.1
9,1,1,13,0.4403499865742456,2000,0.04714866363457394,0.30000000000000004,0.1
7,2,1,16,0.4403499865742456,2000,0.04714866363457394,0.30000000000000004,0.1
8,1,1,18,0.4403499865742456,2000,0.04714866363457394,0.30000000000000004,0.1
8,0,1,13,0.4403499865742456,2000,0.05963623316594643,0.30000000000000004,0.1
12,0,1,15,0.4403499865742456,2000,0.05963623316594643,0.30000000000000004,0.1
6,0,1,16,0.4403499865742456,2000,0.05963623316594643,0.30000000000000004,0.1
1,0,1,20,0.4403499865742456,2000,0.05963623316594643,0.30000000000000004,0.1
1,0,1,13,0.4403499865742456,2000,0.07543120063354623,0.30000000000000004,0.1
1,0,1,15,0.4403499865742456,2000,0.07543120063354623,0.30000000000000004,0.1
11,0,1,16,0.4403499865742456,2000,0.07543120063354623,0.30000000000000004,0.1
13,0,1,20,0.4403499865742456,2000,0.07543120063354623,0.30000000000000004,0.1
5,0,1,29,0.4403499865742456,2000,0.07543120063354623,0.30000000000000004,0.1
9,1,1,13,0.4403499865742456,2000,0.09540954763499944,0.30000000000000004,0.1
2,0,1,18,0.4403499865742456,2000,0.09540954763499944,0.30000000000000004,0.1
8,0,1,20,0.4403499865742456,2000,0.09540954763499944,0.30000000000000004,0.1
9,0,1,15,0.4403499865742456,2000,0.1206792640639329,0.30000000000000004,0.1
6,0,1,18,0.4403499865742456,2000,0.1206792640639329,0.30000000000000004,0.1
7,0,1,19,0.4403499865742456,2000,0.1206792640639329,0.30000000000000004,0.1
4,0,1,24,0.4403499865742456,2000,0.1206792640639329,0.30000000000000004,0.1
6,3,1,13,0.4403499865742456,2000,0.15264179671752334,0.30000000000000004,0.1
4,0,1,15,0.4403499865742456,2000,0.15264179671752334,0.30000000000000004,0.1
14,0,1,16,0.4403499865742456,2000,0.15264179671752334,0.30000000000000004,0.1
4,0,1,20,0.4403499865742456,2000,0.15264179671752334,0.30000000000000004,0.1
7,0,1,13,0.4403499865742456,2000,0.19306977288832497,0.30000000000000004,0.1
