N,D,patch,species,env,time,dispersal,germination,survival
14,2,1,24,0.605222246427855,2000,1e-5,0.4,0.1
26,2,1,21,0.605222246427855,2000,1.5998587196060572e-5,0.4,0.1
20,1,1,17,0.605222246427855,2000,3.237457542817647e-5,0.4,0.1
22,1,1,27,0.605222246427855,2000,6.55128556859551e-5,0.4,0.1
20,1,1,19,0.605222246427855,2000,8.286427728546843e-5,0.4,0.1
17,2,1,21,0.605222246427855,2000,1.0481131341546853e-4,0.4,0.1
19,2,1,13,0.605222246427855,2000,1.6768329368110083e-4,0.4,0.1
17,1,1,22,0.605222246427855,2000,2.1209508879201905e-4,0.4,0.1
14,1,1,23,0.605222246427855,2000,3.39322177189533e-4,0.4,0.1
28,3,1,19,0.605222246427855,2000,5.428675439323859e-4,0.4,0.1
17,1,1,17,0.605222246427855,2000,8.68511373751353e-4,0.4,0.1
17,1,1,18,0.605222246427855,2000,0.0013894954943731374,0.4,0.1
18,2,1,12,0.605222246427855,2000,0.0022229964825261957,0.4,0.1
21,2,1,23,0.605222246427855,2000,0.002811768697974231,0.4,0.1
15,1,1,17,0.605222246427855,2000,0.0035564803062231283,0.4,0.1
17,2,1,20,0.605222246427855,2000,0.004498432668969444,0.4,0.1
3,1,1,21,0.605222246427855,2000,0.004498432668969444,0.4,0.1
14,2,1,20,0.605222246427855,2000,0.005689866029018299,0.4,0.1
6,1,1,21,0.605222246427855,2000,0.0071968567300115215,0.4,0.1
10,2,1,28,0.605222246427855,2000,0.011513953993264481,0.4,0.1
19,1,1,22,0.605222246427855,2000,0.014563484775012445,0.4,0.1
21,2,1,24,0.605222246427855,2000,0.018420699693267165,0.4,0.1
21,2,1,21,0.605222246427855,2000,0.023299518105153717,0.4,0.1
12,1,1,22,0.605222246427855,2000,0.029470517025518096,0.4,0.1
29,2,1,23,0.605222246427855,2000,0.037275937203149416,0.4,0.1
26,4,1,25,0.605222246427855,2000,0.04714866363457394,0.4,0.1
14,2,1,25,0.605222246427855,2000,0.05963623316594643,0.4,0.1
23,3,1,25,0.605222246427855,2000,0.07543120063354623,0.4,0.1
10,1,1,23,0.605222246427855,2000,0.09540954763499944,0.4,0.1
18,1,1,25,0.605222246427855,2000,0.15264179671752334,0.4,0.1
19,1,1,25,0.605222246427855,2000,0.19306977288832497,0.4,0.1
23,1,1,27,0.605222246427855,2000,0.244205309454865,0.4,0.1
27,1,1,28,0.605222246427855,2000,0.49417133613238384,0.4,0.1
23,1,1,26,0.605222246427855,2000,0.6250551925273976,0.4,0.1
18,1,1,25,0.605222246427855,2000,1,0.4,0.1
55,4,1,26,0.605222246427855,2000,1.5998587196060572e-5,0.7,0.1
54,3,1,24,0.605222246427855,2000,2.0235896477251556e-5,0.7,0.1
45,3,1,26,0.605222246427855,2000,2.559547922699533e-5,0.7,0.1
45,1,1,22,0.605222246427855,2000,3.237457542817647e-5,0.7,0.1
47,2,1,23,0.605222246427855,2000,4.094915062380427e-5,0.7,0.1
54,1,1,13,0.605222246427855,2000,6.55128556859551e-5,0.7,0.1
44,1,1,23,0.605222246427855,2000,8.286427728546843e-5,0.7,0.1
62,4,1,23,0.605222246427855,2000,1.0481131341546853e-4,0.7,0.1
