rep,envscenario,comp,mean_alpha
7,10,equal,1.16
7,10,stable,2.61
7,11,equal,1.12
7,11,stable,2.67
7,12,equal,1.1
7,12,stable,2.97
7,13,equal,1.11
7,13,stable,2.83
7,14,equal,1.14
7,14,stable,2.68
7,15,equal,1.09
7,15,stable,2.48
7,16,equal,1.09
7,16,stable,2.71
7,17,equal,1.09
7,17,stable,2.85
7,18,equal,1.08
7,18,stable,3
7,19,equal,1.08
7,19,stable,2.44
7,20,equal,1.08
7,20,stable,2.88
8,1,equal,0
8,1,stable,0
8,2,equal,0
8,2,stable,0
8,3,equal,0
8,3,stable,0
8,4,equal,0
8,4,stable,0
8,5,equal,0
8,5,stable,0
8,6,equal,0
8,6,stable,0
8,7,equal,0
8,7,stable,0
8,8,equal,0
8,8,stable,0
8,9,equal,0
8,9,stable,0
8,10,equal,0
8,10,stable,0
8,11,equal,0
8,11,stable,0
8,12,equal,0
8,12,stable,0
8,13,equal,0
8,13,stable,0
8,14,equal,0
8,14,stable,0
8,15,equal,0
8,15,stable,0
8,16,equal,0
8,16,stable,0
8,17,equal,0
8,17,stable,0
8,18,equal,0
8,18,stable,0
8,19,equal,0
8,19,stable,0
8,20,equal,0
8,20,stable,0
9,1,equal,1
9,1,stable,5.67
9,2,equal,1
9,2,stable,3.89
9,3,equal,1.36
9,3,stable,5.31
9,4,equal,1
9,4,stable,4.77
9,5,equal,1
9,5,stable,2.97
9,6,equal,1
9,6,stable,3.65
9,7,equal,1
9,7,stable,4.18
9,8,equal,1
9,8,stable,2.99
9,9,equal,1
9,9,stable,2.99
9,10,equal,1
9,10,stable,3
9,11,equal,1
9,11,stable,3
9,12,equal,1
9,12,stable,3.96
9,13,equal,1.71
9,13,stable,4.84
9,14,equal,1
9,14,stable,4.72
9,15,equal,1
9,15,stable,2.93
9,16,equal,1
9,16,stable,3.83
9,17,equal,1
9,17,stable,4.86
9,18,equal,1
9,18,stable,2.98
9,19,equal,1
9,19,stable,4.59
9,20,equal,1
9,20,stable,3.98
10,1,equal,0
10,1,stable,0
10,2,equal,0
10,2,stable,0
10,3,equal,0
10,3,stable,0
10,4,equal,0
10,4,stable,0
10,5,equal,0
10,5,stable,0
10,6,equal,0
10,6,stable,0
10,7,equal,0
10,7,stable,0
10,8,equal,0
10,8,stable,0
10,9,equal,0
10,9,stable,0
10,10,equal,0
10,10,stable,0
10,11,equal,0
10,11,stable,0
10,12,equal,0
10,12,stable,0
10,13,equal,0
10,13,stable,0
10,14,equal,0
10,14,stable,0
10,15,equal,0
10,15,stable,0
10,16,equal,0
10,16,stable,0
10,17,equal,0
10,17,stable,0
10,18,equal,0
10,18,stable,0
10,19,equal,0
10,19,stable,0
10,20,equal,0
10,20,stable,0
11,1,equal,0
11,1,stable,0
11,2,equal,0
11,2,stable,0
11,3,equal,0
11,3,stable,0
11,4,equal,0
11,4,stable,0
11,5,equal,0
11,5,stable,0
11,6,equal,0
11,6,stable,0
11,7,equal,0
11,7,stable,0
11,8,equal,0
11,8,stable,0
11,9,equal,0
11,9,stable,0
11,10,equal,0
11,10,stable,0
11,11,equal,0
11,11,stable,0
11,12,equal,0
11,12,stable,0
11,13,equal,0
11,13,stable,0
11,14,equal,0
11,14,stable,0
11,15,equal,0
11,15,stable,0
11,16,equal,0
11,16,stable,0
11,17,equal,0
11,17,stable,0
11,18,equal,0
11,18,stable,0
11,19,equal,0
11,19,stable,0
11,20,equal,0
11,20,stable,0
12,1,equal,0
12,1,stable,0
12,2,equal,0
12,2,stable,0
12,3,equal,0
12,3,stable,0
12,4,equal,0
12,4,stable,0
12,5,equal,0
12,5,stable,0
12,6,equal,0
12,6,stable,0
12,7,equal,0
12,7,stable,0
12,8,equal,0
12,8,stable,0
12,9,equal,0
12,9,stable,0
12,10,equal,0
12,10,stable,0
12,11,equal,0
12,11,stable,0
12,12,equal,0
12,12,stable,0
12,13,equal,0
12,13,stable,0
12,14,equal,0
12,14,stable,0
12,15,equal,0
12,15,stable,0
12,16,equal,0
12,16,stable,0
12,17,equal,0
