comp,envscenario,rep,dispersal,germination,survival,gamma
equal,1,1,4.861766836699242e-4,0.6472422254737467,0.058493122924119234,15
equal,1,2,0.015522138554342455,0.1638536776881665,0.8511892752721906,5
equal,1,3,0.3365654861053039,0.47538217599503696,0.918458875734359,1
equal,1,4,0.013530095817326993,0.8603119743056595,0.6873546806164086,4
equal,1,5,1.0013129533042863e-5,0.9220626754686236,0.7388532403856516,26
equal,1,6,0.023452231658038013,0.188633301993832,0.8120599829126149,4
equal,1,7,4.977732845333764e-4,0.5076259258203208,0.416666679084301,16
equal,1,8,0.0014816140221384103,0.20180808031000197,0.24723500153049827,0
equal,1,9,0.22158376210492836,0.22708411957137287,0.4749053348787129,1
equal,1,10,0.004794728163337366,0.16290820785798132,0.2487464810255915,0
equal,1,11,0.024047782475754915,0.1077661388553679,0.49816620210185647,0
equal,1,12,0.0016717299745865612,0.11901707877404988,0.5761948740109801,0
equal,1,13,0.10511563910818217,0.7734955304767936,0.33894992736168206,2
equal,1,14,0.0010751930019279416,0.7248682037461549,0.0615464230068028,9
equal,1,15,0.0031499884172327937,0.3065768568776548,0.06884910981170833,4
equal,1,16,0.007108261316434684,0.3908197986893356,0.02735800901427865,4
equal,1,17,0.5391477983006103,0.38805080694146454,0.5108554917387664,1
equal,1,18,2.6663402153358754e-4,0.3736956440843642,0.9275682498700917,17
equal,1,19,3.0802140545446916e-4,0.49481449625454843,0.9835037044249475,12
equal,1,20,0.03489057717837136,0.31677330494858325,0.5592610854655504,3
equal,1,21,0.05649028773797293,0.4658438868355006,0.9820424723438919,4
equal,1,22,0.14684271582427114,0.1905820914544165,0.841785104945302,4
equal,1,23,0.08436126556447386,0.4891751315444708,0.5565779991447926,3
equal,1,24,6.83271219551011e-5,0.8141755759716034,0.8371016101446003,20
equal,1,25,1.1628088223122726e-4,0.7086641604546458,0.784395219059661,19
equal,1,26,0.018071384988300566,0.4996595778502524,0.8429486774839461,5
equal,1,27,0.3091835083295213,0.606121170334518,0.0679995862301439,2
